row__restname,row__la,row__lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중동대림아파트경로당,37.506747,126.777997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농장마을남자경로당,37.507593,126.777837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
래미안부천중동아파트경로당,37.50781,126.776204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백송마을풍림경로당,37.498535,126.748377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하얀마을현대아파트경로당,37.499469,126.753168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백송마을LG.SK아파트경로당,37.49983,126.75064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
푸른마을창보아파트경로당,37.502701,126.753759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하얀마을경남경로당,37.497943,126.754607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈운2리(상갈) 경로당,37.5416,127.7661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양근2리 경로당,37.4904,127.4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"도림3,4리경로당",36.9151091,127.2447183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
독정1리경로당,36.923039,127.230072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시장1리경로당,36.8918,127.2284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벼루마을경로당,37.6225767,127.0525235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세안쉼터,35.5731969,127.9182708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽계1리 경로당,36.7976774,127.3847141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽계2리 경로당,36.7956955,127.3781687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주공2단지각심경로당,37.6283549,127.0521426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹산경로당,35.114455,128.885366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광운경로당,37.6252768,127.0591271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
